ad_unit_name,market,ad_network,os,slot,format,page
am-android-foryou-large-native-cf-2-low,US,gam,android,large,native,foryou
fb-android-foryou-large-native-cf-no,US,fb,android,large,native,foryou
am-android-foryou-large-native-cf-no-high,US,gam,android,large,native,foryou
am-android-foryou-large-native-cf-no-medium,US,gam,android,large,native,foryou
am-android-foryou-large-native-cf-no-low,US,gam,android,large,native,foryou
fb-android-foryou-large-native-dslt-ctrl,US,fb,android,large,native,foryou
am-android-foryou-large-native-dslt-ctrl-high,US,gam,android,large,native,foryou
am-android-foryou-large-native-dslt-ctrl-medium,US,gam,android,large,native,foryou
am-android-foryou-large-native-dslt-ctrl-low,US,gam,android,large,native,foryou
fb-android-article-related-native-dslt-ctrl,US,fb,android,related,native,article
am-android-article-related-native-dslt-ctrl-high,US,gam,android,related,native,article
am-android-article-related-native-dslt-ctrl-medium,US,gam,android,related,native,article
am-android-article-related-native-dslt-ctrl-low,US,gam,android,related,native,article
fb-android-article-inside-native-dslt-ctrl-high,US,fb,android,inside,native,article
fb-android-article-inside-native-dslt-ctrl-medium,US,fb,android,inside,native,article
fb-android-article-inside-native-dslt-ctrl-low,US,fb,android,inside,native,article
gam360-android-article-inside-native-dslt-ctrl-high,US,gam360,android,inside,native,article
gam360-android-article-inside-native-dslt-ctrl-medium,US,gam360,android,inside,native,article
gam360-android-article-inside-native-dslt-ctrl-low,US,gam360,android,inside,native,article
am-android-article-inside-display-dslt-ctrl-high,US,gam,android,inside,display,article
am-android-article-inside-display-dslt-ctrl-medium,US,gam,android,inside,display,article
am-android-article-inside-display-dslt-ctrl-low,US,gam,android,inside,display,article
fb-android-article-top-display-dslt-ctrl,US,fb,android,top,display,article
am-android-article-top-display-dslt-ctrl-high,US,gam,android,top,display,article
am-android-article-top-display-dslt-ctrl-medium,US,gam,android,top,display,article
am-android-article-top-display-dslt-ctrl-low,US,gam,android,top,display,article
fb-android-foryou-large-native-dslt-exp,US,fb,android,large,native,foryou
am-android-foryou-large-native-dslt-exp-ds-high,US,gam,android,large,native,foryou
am-android-foryou-large-native-dslt-exp-high,US,gam,android,large,native,foryou
am-android-foryou-large-native-dslt-exp-medium,US,gam,android,large,native,foryou
am-android-foryou-large-native-dslt-exp-low,US,gam,android,large,native,foryou
fb-android-article-related-native-dslt-exp,US,fb,android,related,native,article
am-android-article-related-native-dslt-exp-ds-high,US,gam,android,related,native,article
